Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
59;3653;6;94297;151911;57614;10000;3;
87;3635;6;88964;135346;46382;10000;4;
168;3695;10;87546;104777;17231;10000;5;
63;3750;6;103944;143856;39912;10000;6;
164;3683;6;107662;126344;18682;10000;7;
168;3673;6;97143;123690;26547;10000;8;
170;3690;6;93421;120007;26586;10000;9;
62;3664;7;89590;131366;41776;10000;10;
152;3625;6;85221;123632;38411;10000;11;
50;3710;8;98035;118334;20299;10000;12;
157;3688;7;88101;127330;39229;10000;13;
137;3702;7;97803;113887;16084;10000;14;
131;3667;6;92464;119233;26769;10000;15;
157;3664;6;82151;129392;47241;10000;16;
143;3692;7;115594;134018;18424;10000;17;
116;3631;7;115867;124623;8756;10000;18;
241;3634;6;97516;138879;41363;10000;19;
137;3632;6;104856;119953;15097;10000;20;
30;3683;6;103135;119914;16779;10000;21;
67;3662;7;107730;119617;11887;10000;22;
91;3722;6;105438;113698;8260;10000;23;
77;3661;7;116528;123884;7356;10000;24;
101;3699;6;107434;110794;3360;10000;25;
146;3685;7;103429;121963;18534;10000;26;
38;3710;7;107550;129607;22057;10000;27;
125;3646;7;90019;114213;24194;10000;28;
98;3631;7;101281;119504;18223;10000;29;
128;3724;6;102223;133263;31040;10000;30;
117;3759;7;99616;123237;23621;10000;31;
54;3621;7;96489;144758;48269;10000;32;
202;3729;6;104416;128989;24573;10000;33;
200;3680;7;106807;149641;42834;10000;34;
31;3696;6;99218;106079;6861;10000;35;
54;3666;6;80678;126376;45698;10000;36;
103;3728;8;79740;134752;55012;10000;37;
193;3682;6;83951;111542;27591;10000;38;
158;3672;6;117705;118126;421;10000;39;
103;3644;6;93907;122103;28196;10000;40;
93;3735;6;95681;123788;28107;10000;41;
55;3642;7;108190;122948;14758;10000;42;
101;3651;6;104661;115260;10599;10000;43;
118;3644;6;96227;126775;30548;10000;44;
110;3654;6;96949;127458;30509;10000;45;
145;3661;6;106012;109183;3171;10000;46;
126;3718;7;116570;136871;20301;10000;47;
188;3680;7;96749;120363;23614;10000;48;
120;3658;7;154069;157066;2997;10000;49;
51;4001;7;135025;142194;7169;11000;0;
48;4089;6;96453;134415;37962;11000;1;
176;4035;8;104463;135040;30577;11000;2;
129;4066;7;89478;122523;33045;11000;3;
105;4074;6;94291;132877;38586;11000;4;
109;4037;6;107027;159830;52803;11000;5;
119;4064;6;124607;146297;21690;11000;6;
163;4028;8;114153;139629;25476;11000;7;
212;4091;8;99528;143551;44023;11000;8;
196;4031;6;93380;116325;22945;11000;9;
164;4059;6;98547;143187;44640;11000;10;
37;4088;6;138299;138441;142;11000;11;
49;4015;6;93694;148680;54986;11000;12;
59;4046;6;111434;134471;23037;11000;13;
43;4091;7;110340;143347;33007;11000;14;
121;4044;6;94636;124950;30314;11000;15;
167;4067;7;135861;139393;3532;11000;16;
248;4004;6;119571;151162;31591;11000;17;
88;3985;6;132319;139250;6931;11000;18;
249;4105;6;104756;138268;33512;11000;19;
225;3996;6;118110;150139;32029;11000;20;
186;4054;7;105883;129760;23877;11000;21;
373;4070;7;102262;120335;18073;11000;22;
184;4012;6;106341;144976;38635;11000;23;
25;4061;7;102886;147223;44337;11000;24;
122;4047;6;112683;146534;33851;11000;25;
119;4062;8;96598;127276;30678;11000;26;
154;4043;6;113994;140888;26894;11000;27;
26;4140;7;118135;132488;14353;11000;28;
321;4050;7;98066;149764;51698;11000;29;
89;4002;6;115079;126526;11447;11000;30;
230;4045;6;143825;153933;10108;11000;31;
225;4017;7;98254;133674;35420;11000;32;
97;4018;6;129061;134635;5574;11000;33;
75;4076;7;96711;131115;34404;11000;34;
124;4073;6;88315;119320;31005;11000;35;
121;4072;6;95327;118253;22926;11000;36;
99;4072;6;96187;122762;26575;11000;37;
141;4051;7;104506;129780;25274;11000;38;
74;4034;7;113416;155181;41765;11000;39;
192;3982;6;103712;156165;52453;11000;40;
207;4030;6;111989;122791;10802;11000;41;
25;4011;7;121437;136090;14653;11000;42;
